mission_time,ship_speed_kps,reactor_output_MA,reactor_voltage_kV,stellar_irradiance_Wm2,collector_A_MW,collector_B_MW,collector_C_MW,helio_remaining_energy,orbital_inclination_deg,orbital_longitude_deg,orbital_altitude_km
2261-07-18 08:23:38+10:00,-0.08148389609943857,15.253709969788598,50.90739787294003,642.4890425280736,,981.3410129323423,819.0109498603256,5.83500025,9.878297378419454,134.064682,74.91696252871391
2261-07-18 08:23:39+10:00,0.050215633615649895,15.227879078843431,,,836.4389100537115,958.8305253652782,817.9129470582238,5.83500025,9.878297378419454,134.064682,75.057894549593
2261-07-18 08:23:41+10:00,-0.01181970458556445,,,653.9861957298909,793.0972484643376,896.9749568057836,819.6277272149392,5.83500025,9.878297378419454,134.064682,75.41914516788496
2261-07-18 08:23:43+10:00,-0.027122730667019607,14.440193070469508,50.452502729126884,670.7349756661869,760.7056684867963,971.3582377839759,820.166266077959,5.83500025,9.878297378419454,134.064682,75.52878664871479
2261-07-18 08:23:45+10:00,0.08214585796996136,15.301843613034741,,654.322832607416,858.1826792212489,925.9299173634854,836.0176369999807,5.83500025,9.878297378419454,134.064682,76.28367668563712
2261-07-18 08:23:47+10:00,,15.258236945951634,,649.8512219563581,901.5073643394499,959.1013515227794,841.7516201884437,5.83500025,9.878297378419454,134.064682,75.67450241966274
2261-07-18 08:23:48+10:00,-0.0342141502264743,,59.67849062350574,655.4165489528679,810.9580447685477,934.3096220824026,834.5933465536721,,9.878297378419454,134.064682,76.67404297103144
2261-07-18 08:23:49+10:00,-0.0370845557756083,15.221365151966026,,648.3302351584977,865.2196732927571,930.4664498339951,841.2930066182988,5.83500025,9.878297378419454,134.064682,74.7577639543516
2261-07-18 08:23:51+10:00,,15.33664623564444,52.024358821903135,646.2931669437008,847.6816362659638,,,5.83500025,9.878297378419454,134.064682,76.26693509036029
2261-07-18 08:23:52+10:00,26.22068260881172,,,644.2946075715265,804.6244087222606,907.9207370163628,838.4090624425565,,9.878297378419454,134.064682,76.67575810232006
2261-07-18 08:23:54+10:00,,14.539832856163468,55.9511197158267,641.9782420313447,886.946924613294,881.7094725929,,5.83500025,9.878297378419454,134.064682,75.25885897825935
2261-07-18 08:23:57+10:00,26.206232931951618,,55.10821224822168,648.0383700471364,824.1915852699395,928.812884602034,838.4875978626297,5.83500025,9.878297378419454,134.064682,74.6946116178473
2261-07-18 08:23:58+10:00,13.015592378444405,15.298478609744732,56.08560222860068,646.9195798944512,788.5122575859833,987.8643530982683,863.5663300995782,5.83500025,9.878297378419454,134.064682,75.62168002603491
2261-07-18 08:24:01+10:00,,,,71.31168425881225,816.5451457362508,918.9494288793194,869.3199630427408,,9.878287378419461,134.064682,75.8959983272804
2261-07-18 08:24:02+10:00,0.15214442410395512,15.289687337523613,53.54891669930933,648.9781881965849,885.1566041802702,956.5595343224281,867.3836344284939,5.83500025,9.878287378419461,134.064682,76.02587688929324
2261-07-18 08:24:04+10:00,26.47975262183858,15.330501386075355,,30.43543937303021,898.1325777574389,954.2767669565208,873.2366910407973,5.83500025,9.878287378419461,134.064682,76.20682522210653
2261-07-18 08:24:06+10:00,13.212958018367319,,54.76454716301533,32.59867708480396,817.8106088358213,953.5501470009574,869.6146539744711,,9.878287378419461,134.064682,75.74466456692639
2261-07-18 08:24:08+10:00,,15.260195112407644,51.46082173376058,29.836878686222178,745.0454850653418,952.0151927274987,858.9829701278616,5.83500025,9.878277378419469,134.064682,75.21781742683882
2261-07-18 08:24:09+10:00,-0.034419811701595325,15.289687518110354,52.73868034390562,2.048752566574402,810.4419446844952,935.0569427985173,874.527378154113,5.83500025,9.878277378419469,134.064682,75.96160905759106
2261-07-18 08:24:11+10:00,0.040952570311977646,15.278764788622723,51.719962721979805,657.58679796651,837.574964217634,1010.5927155970711,846.2051067459337,5.83500025,9.878277378419469,134.064682,75.04733028392114
2261-07-18 08:24:13+10:00,-0.0453453513935672,,51.88155310468235,641.3459036298674,848.0264933660444,865.7304423080071,865.7034366651802,,9.878277378419469,134.064682,76.0774720399646
